Пол,Возраст,Город,Готовность к переезду,Готовность к командировкам,Гражданство,Разрешение на работу,Знания языков,Образование,Дополнительное образование,Зарплата,Время в пути до работы,Занятость,График,Опыт работы (мес),Обязанности на пред.работе,Этап сделки
М,25,Томск,готов к переезду,не готов к командировкам,Россия,Россия,Русский Английский Немецкий,Среднее образование,no_data,35000.0,не имеет значения,полная занятость,"гибкий график, полный день, удаленная работа",51,"Знание товара, работа с розничными клиентами, содержание выставочного товара и помещения в должном состоянии, работа с монтажниками, Продажа товара, содержание магазина в должном состоянии, финансовая отчетность, знание товара и новинок",нет
М,30,Москва,готов к переезду,готов к командировкам,Россия,Россия,Русский Английский,Высшее образование,Бизнес молодость,120000.0,не более часа,"проектная работа, частичная занятость, полная занятость","удаленная работа, гибкий график, полный день, сменный график",126,"Привлечение новых клиентовРабота с текущей базой клиентовЗаключение договор, Подключение физических лиц к интернету, Продажа сервиса,оборудования и запасных частей промышленным производствам, ведение имеющихся клиентов в закреплённом регионепоиск и разработка новых клиентов в выделенном регионезаключение договоровконтроль отгрузки и получение товара клиентомделовая перепискарассылка акций и обновленийобщение с клиентами в мессенджерахтелефонные переговорывстречи с клиентами в офисе и на выставке, Хорор-квестСобственный проект от начала и до конца, Продажа услуг сертификацииЗаключение договорВедение деловой перепискиТелефонные переговорыВстречи с клиентами, Продажа услуг электротехнической лаборатории. B2B, - Поиск и привлечение новых клиентов- Активные продажи- Заключение новых договоров с партнерами- Анализ работы и разработка стратегии для привлечения новых клиентов- Контроль выполнения процессов- Подбор и обучения персонала- Обслуживание торговых точек- Переговоры и коммуникация с арендодателями- платежный агент, - Монтаж слаботочных систем;- Пуско-наладка смонтированных систем;- Регламентное техническое обслуживание установленных систем;- Обслуживание и монтаж систем домофонии координатной и цифровой;",нет
Ж,26,Шымкент,готов к переезду,готов к командировкам,Казахстан,Казахстан,Казахский Английский Русский Турецкий,Высшее образование,Школа бизнеса «Синегрия»,54000.0,не имеет значения,полная занятость,полный день,109,"Продажа пакетов обучения, выполнение плана., руководство отделом продаж;планирование работы отдела (идеология, цели, задачи, мотивация);подбор, адаптация и обучение сотрудников;поиск и привлечение клиентов;составление отчетности;ведение, поддержание и развитие клиентской базы.создание мотивационных программ;анализ рынка и сбор информации о клиентах;представление компании на конференциях и демонстрационных мероприятиях., Прием и распределение входящих сообщений, электронных писем, ведение клиентской базы. Консультативная поддержка клиентов, предоставление всей нужной инфрмации клиенту по услугам. Продажа продуктов компании., Оперативное управление магазином (все ежедневные процессы).Обеспечение выполнения плана продаж магазина.Управление персоналом. Часто в обязанности входит подбор кадров.Учет товара, ТМЦ. ...Взаимодействие с контролирующими и государственными органами.Отчетность, обучение продавцов-стажеров и штатных мерчендайзеров",нет
М,24,Москва,не готов к переезду,не готов к командировкам,Россия,Россия,Русский Английский,Высшее образование,no_data,70000.0,не имеет значения,"частичная занятость, полная занятость","гибкий график, полный день, сменный график",61,"Развитие бизнеса и продаж компании, управление продажами, работа с поставщиками, анализ и исследование рынка, мониторинг конкурентов, управление персоналом.Достижения: обеспечил увеличение продаж, наладил работу с поставщиками., Работа с покупателями, увеличение продаж компании, работа с кассой., Привлечение новых клиентов, работа с клиентской базой данных, управление персоналом, ведение соц.сетей организации.Достижения: увеличил клиентскую базу в среднем в 1,5 раза, сформировал высокоэффективную команду.",нет
Ж,50,Москва,готов к переезду,не готов к командировкам,Россия,Россия,Русский Немецкий,Высшее образование,Экономический,50000.0,не имеет значения,полная занятость,"гибкий график, полный день, сменный график, удаленная работа",45,"Первичное консультирование клиентов, Организационная работа, первичная документация, отчетность, Заключение договоров",нет
Ж,24,Москва,готов к переезду,готов к командировкам,Беларусь,Россия,Белорусский Английский Русский,Среднее образование,no_data,50000.0,не имеет значения,"частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, удаленная работа",80,"Коммуникация с клиентов, выезд на мероприятия, контроль тайминга, работы подрядчиков и артистов на празднике, предотвращение и решение форс-мажорных ситуаций, отчет о прошедшем мероприятии., - организация мероприятий:- придумывание концепций, идей, сценариев;- составление смет и календарных графиков;- подбор помещения, реквизита и необходимого персонала;- организация всего необходимого для участников и гостей;- отчет и оценка эффективности проведения мероприятий;- привлечение подрядчиков и управление их работой;- согласование работ с другими отделами (PR, рекламы, продаж);- ведение документооборота,- согласование всех действий по подготовке мероприятия с клиентами;- контроль платежей заказчиков;, Ведение проектов (контроль качества, сроков, бюджетов и рисков);коммуникации с заказчиком (согласование планов, сроков, требований, бюджетов);руководство проектной командой;ведение проектной и технической документации:календарные планы;технические задания;функциональные требования;финансовые отчеты;и так далее., Приём входящих звонков, исходящие звонки, обработка заявок, притензий и благодарностей клиентов. Общение и помощь клиентам, Разработка стратегии продвижения товара. Контроль за репутацией компании в сети. Создание и размещение качественного контента. Размещение информации о компании в социальных сетях. Анализ активности конкурентов., Подбор персонала, организация мероприятий, тренинги, сопровождение и контроль во время мероприятия, подготовка сопроводительных документов, поддержка соц-сетей.",нет
М,28,Ростов-на-Дону,не готов к переезду,не готов к командировкам,Россия,Россия,Русский Английский,Среднее специальное образование,no_data,30000.0,не имеет значения,полная занятость,"гибкий график, полный день, сменный график, удаленная работа",50,"— Обработка входящих звонков— Обработка почты— Консультации— Продажи— Исходящие потенциальным покупателям, Обработка входящих вызовов клиентов, информационно-справочное обслуживание, продажи",нет
Ж,30,Пушкино (Московская область),готов к переезду,готов к командировкам,Россия,Россия,Русский Английский,Высшее образование,no_data,60000.0,не имеет значения,полная занятость,полный день,123,"Работа с клиентами по частным и гос.контрактам;Проведение переговорной и договорной кампании;Поиск тендеров на предмет участия;Ведение переговоров с Заказчиками;Консультирование тендерного-менеджера в области закупок;Предоставление отчета руководителю компании;Выбор поставщиков по лучшей цене и условиям;Обработка и размещение заказов;Контроль за качеством продукции;Ведение отчетности по выполнению договоров;Анализ остатков и планирование закупок;Ведение с поставщиками деловой переписки, претензионной работы в случае поставки товаров (услуг) ненадлежащего качества;Организация и координация грузоперевозок;Управление складскими запасами и заказами;Ведение документооборота и работа в 1С;Контроль договоров и счетов от контрагентов;Прием и обработка заказов от клиентов;Продажа продуктов компании;Ежедневная логистика;Введение базы клиентов и поставщиков;Анализ конкурентов;Сравнительный анализ поставщиков;Введение сайта компании и реклама на сторонних ресурсах;Учет сопроводительных документов: деклараций, сертификатов, вет.документов;Работа в системе МеркурийХС., - Ведение рекламной кампании в социальных сетях, тематических форумах и др. ресурсах;- Работа над текстовым и графическим наполнением сайта, соц.сетей, тематических форумов и др.ресурсов.- Планирование, разработка и осуществление маркетинговых акций;- Техническая поддержка сайта;- Работа с редактором Photoshop;- Разработка дизайна печатной рекламной продукции;- Увеличение узнаваемости бренда и лояльности целевой аудитории;- Работа с партнерскими маркетинговыми кампаниями;- Размещение и продажа товара на торговых площадках в интернете;- Проведение дегустаций продукции;- Разработка дизайна макетов и заказ этикеток на продукт;- Разработка и завод новой продукции;- Аналитика конкурентов;, - Массовый подбор сотрудников;- Размещение вакансий;- Проведение собеседований;- Первичное оформление документов на прием;- Оценка кандидатов;- Формирование и ведение базы данных кадрового резерва., - Ведение рекламной кампании в социальных сетях, тематических форумах и др. ресурсах;- Работа над текстовым и графическим наполнением сайта, соц.сетей, тематических форумов и др.ресурсов.- Планирование, разработка и осуществление маркетинговых акций;- Техническая поддержка сайта;- Работа с редактором Photoshop;- Разработка дизайна печатной рекламной продукции;- Увеличение узнаваемости бренда и лояльности целевой аудитории;- Работа с партнерскими маркетинговыми кампаниями;- Размещение и продажа товара на торговых площадках в интернете., - Проведение презентаций;- Участие в выставках;- Работа в соц.сетях;- Продвижение сайта;- Разработка рекламного плана;- Отслеживание и работа с дебиторской задолженности;- Договорная работа: заключение договоров, их пролонгация, доп. соглашения;- Контроль оплаты по заключенным договорам;- Общий документооборот;- Работа по рекламным кампаниям;- Маркетинг-аналитика, Работа с действующей базой клиентов;Восстановление отношений по ""тёплой"" базе, наработка новых контрагентов;Текущие заказы-отгрузки, контроль оплаты, логистик;.Работа с имеющейся клиентской базой, выявление причин изменений и восстановление ""охладевших"" контактов;Деловая переписка, коммерческие предложения, рассылка предложений по новинкам, акциям;Заключение договоров;Прием заказов от клиентов, консультирование клиентов по товару;- Отгрузки: оформление документов для отгрузки товара (счет, Торг-12, счет-фактура, ТТН, доверенность) в программе 1С 8.2., контроль поступления денежных средств от клиента;Выезд к клиенту на обучение сотрудников и мерчендайзинг, создание бренд-зон;Контроль заказов и отгрузок, связь с транспортными компаниями, взаимодействие со складом;Выполнение поручений руководства., Полная административная поддержка клиники:ответы на телефонные звонки (консультация пациентов по времени приема доктора, по стоимости медицинских услуг);Координация пациентов;Запись на прием;Встреча пациентов;Расчет с пациентами;Работа с ККМ;Составление отчетов., Обслуживание посетителей на высоком уровне;Соблюдение правил внутреннего распорядка;Своевременное получение товаров и продуктов со склада или производства;Приготовление алкогольных и безалкогольных коктейлей и напитков;Поддержание порядка в баре;Проведение инвентаризаций;Работа на кассе, R-keeper., Своевременная доставка документации и посылок по Москве;Вежливое общение с клиентами;Отчетность по проделанной работе., Обслуживание посетителей на высоком уровне;Соблюдение правил внутреннего распорядка;Своевременное получение товаров и продуктов со склада или производства;Приготовление алкогольных и безалкогольных коктейлей и напитков;Поддержание порядка в баре;Проведение инвентаризаций.",нет
Ж,50,Москва,не готов к переезду,не готов к командировкам,Россия,Россия,Русский,Высшее образование,no_data,50000.0,не имеет значения,полная занятость,"полный день, удаленная работа",387,"Продавала курсы по обучению работе трейдером, курсы для инвесторов по работе с недвижимостью, продавала детскую одежду через интернет магазинОбщалась с входящей и имеющейся базой клиентов через IP телефониюАккуратно и внимательно заносила всю информацию в CRMРаботала с возражениями и сомнениями клиентовЗаписывала клиентов на онлайн консультации по итогу разговора и заключение договоров на оказание услуг. Отслеживала оплаты клиентов. Формировала еженедельный отчет., Организация деятельности предприятия. В мои обязанности входило с нуля организовать работу всего предприятия. Набор и обучение сотрудников, проведение переговоров с клиентами и подрядчиками, заключение договоров, составление отчетности., Работа в группе АСУ. Составление отчетности, оформление исходящей документации, отправка деловых писем. Работа с входящей корреспонденцией, приходящей на электронную почту предприятия.",нет
Ж,23,Москва,готов к переезду,готов к командировкам,Россия,Россия,Русский Английский Чешский,Высшее образование,no_data,70000.0,не более часа,полная занятость,"полный день, удаленная работа",60,"• Проведение регулярных исследований рынка• Конкурентный анализ• Работа с бюджетами, участие в ценообразовании• Разработка стратегий развития бренда• Участие и проведение различных маркетинговых мероприятий• Наполнение интернет-сайта• Написание статей на различные тематики• Online продвижениеSMM:Разработка контент-плана и стратегии развитияФото/видео съемкаРазработка макетов в Adobe PhotoshopНастройка таргетированной рекламыНаписание постов/создание сторисВзаимодействие с аудиториейУстановление договоренностей о бартерном сотрудничестве с блоггерамиКонтроль SEO специалистовOffline продвижениеКросс-маркетинг (взаимное сотрудничество с близко расположенными или смежными по сфере организациями)Раздача флаеров с акционными предложениямиСовместно с дизайнером разработка и установка баннеров внутри клубаВыводы:За время продолжительного сотрудничества произошел заметный органический рост аудиторииБлагодаря профессиональной фото/видео съемке, улучшилась визуальная составляющаяНовые рубрики и множество спортивных статей способствовали улучшению индексации сайтаКлючевой показатель эффективности - значительное увеличение спроса и сохранение его стабильно высоким на протяжении всего времени сотрудничества., 1. Разработка и реализация стратегии продвижения клиники2. Проведение маркетинговых исследований, мониторинг рынка и конкурентной среды3. Построение воронки продаж4. Подбор наиболее эффективных каналов коммуникаций5. Написание медицинских статей для сайта и медицинского калькулятора на сайте6. Корректирование линейки предлагаемых услуг; Создание новых позиций7. Online продвижениеSMM:Разработка контент-плана и стратегии развитияФото/видео съемкаРазработка макетов в Adobe PhotoshopНастройка таргетированной рекламыНаписание постов/создание сторисВзаимодействие с аудиториейУстановление договоренностей о бартерном сотрудничестве с блоггерамиЗакупка рекламы в группах VK (по геолокации)Скрытая реклама в чатах домовРеклама на медицинских порталахКонтроль работы SEO специалистовOffline продвижение:Совместно с дизайнером разработка и раздача флаеров с акционными предложениямиУстановление промо-стойки в гипермаркетеУстановление баннераКросс-маркетинг (взаимное сотрудничество с близко расположенными или смежными по сфере организациями)8. Разработка и оценка эффективности акционных предложений9. Работа с бюджетами; Анализ отчетов по продажам текущий и прошлый год10. Проведение SWOT анализа, ABC - анализа11. Разработка визауализационных материалов совместно с дизайнером ( брошюр /листовок), Проект длительностью 12 месяцев• Конкурентный анализ рынка• Анализ доли полки по количеству фейсов - построение матрицы позиционирования• Разработка мероприятий по повышению продаж в различных каналах сбыта• Подготовка коммерческих предложений совместно с отделом продаж• Подготовка и участие в переговорах с партнерами• Работа с бюджетами; Анализ отчетов по продажам за 2018 / 2019• Проведение SWOT анализа, ABC - анализа• Проведение ребрендинга ТМ• Создание нового дизайна упаковок имеющихся позиций на Российском рынке• Разработка и вывод на рынок нового продукта для Китайского рынка:a) Отрисовка упаковкиb) Разработка неймингаc) Работа над составом совместно с технологом• Разработка коммуникационной стратегии, включая креатив• Разработка визауализационных материалов совместно с диазйнером ( брошюр /листовок)• Актуализация презентационных материалов• Организация проведения дегустаций• Создание макетов в Adobe Photoshop• Контроль SMM/SEO специалистовВыводы:За 12 месяцев было проведен ребрендинг ТМ: разработка нового дизайна упаковок для Российского рынкаБыл создан и реализован новый продукт с 0 – бренд муки для Китайского рынкаБыли проведены переговоры с крупными ТС и установлены договоренности о выводе нашей линейки на полкуСовместно с трейд-маркетологом был проведен комплексный анализ позиционирования нашей ТМ относительно конкурентов, согласно которому удалось выявить наши слабые стороны и усилить их.",нет
М,21,Уфа,готов к переезду,готов к командировкам,Россия,Россия,Русский,no_data,no_data,70000.0,не имеет значения,"стажировка, волонтерство, частичная занятость, проектная работа, полная занятость","гибкий график, полный день, удаленная работа",23,"Компания занимается модернизацией бизнес процессов. Моей обязанностью было привлекать новых клиентов и рассказывать им чем мы занимаемся и как можем им помочь с модернизацией их бизнес процессов. Так же в мои обязанности входило помогать в любых вопросах текущим клиентам, которые приобрели у меня продукт нашей компании. Что говоря о достижениях на данном месте работы, то это крупная сделка, заключённая мной с одной немалой компанией., в обязанности входило общение с клиентами и решение проблем если таковые имелись",нет
Ж,23,Минск,готов к переезду,готов к командировкам,Беларусь,"Беларусь, Россия, Украина",Русский Английский Белорусский,Среднее образование,TeachMeSkills,43365.0,не более часа,"частичная занятость, полная занятость","гибкий график, полный день, сменный график, удаленная работа",78,"Консультация и помощь клиентам в оформлении денежных средств, помощь в оформлении займов и кредитов. Выход на связь с курьерами насчет клиентской документации. Работа с курьерскими службами СДЭК и Ефин на территории РФ.Отслеживание просрочек по кредитам - займам. Помощь решения проблем по выплатам займов - кредитов. Проверка документов (паспортов) клиентов, прохождение клиентов идентификации.1.5 месяца работы руководителем коллекторского отдела на территории РФ.Общение с клиентами в соц сетях., Работа в абонентском отделе. Приём абонентов, заключение и расторжение договоров. Работа с дебиторской задолженностью. Сверка абонентов., • Приём, регистрация и обработка поступающих заявок-тестов;• Отправка результатов с рекомендациями заявителя;• Консультирование людей по товарам ортопедии и товарам ортодонтии;• Ведение клиентской базы.• Внесение данных в базу;• Увеличение количества продаж., • Продажи;• Консультирование людей по условиям кредитования;• Online оформление заявки по кредиту;• Ведение клиентской базы;• Общение в соц сетях с клиентами., Обучение персонала, организация и контроль работы всех подразделений предприятия, прием и проведение банкетов, контроль работы персонала , обеспечение работы по эффективному и культурному обслуживанию посетителей ресторана, созданию для них комфортных условий, контроль приема заказов и расчет посетителей., • Обслуживание гостей согласно принятым стандартам;• Знание кассовой дисциплины;• Принятие и регистрация заказов;• Подача еды в ресторане;• Сортировка стола и блюд;• Подача счетов и осуществление расчетов с гостями.",нет
М,27,Москва,не готов к переезду,не готов к командировкам,Россия,Россия,Русский Английский,Высшее образование,no_data,100000.0,не имеет значения,полная занятость,"полный день, удаленная работа",91,"Прототипирование варфрэйма сайта в Photoshop или Figma.Проектирование MVP в Photoshop и 3dMax .Прорисовка UI для сайта и других каналов продаж. Оформление страниц в социальных сетях.Выдвижение и проверка гипотез. Обсуждение гипотез с художниками и дизайнерами.Расчет маржинальной прибыли после проведения рекламных компаний и добавления новых фич.Определение среднего дохода с клиента и пользователя.Вычисление средней стоимости пользователя и клиента.Сравнение полученных показателей конверсии с теми что были сформулированы в гипотезе.Чтение статей и книг с тематическими материалами.Написание ТЗ для копирайтеров.Анализ и определение рынкаA/B тестирование.Проектирование нескольких вариантов юзабилити для сайта и рекламных баннеров в социальных сетях.Определение и сбор ЦА в TargetHunter.Поиск ЦА путем анализа сообществ и профилей в социальных сетях.Фильтр ЦА по активности, платежеспособности и геолокации.Разделение готовой аудитории на несколько рекламных компаний.Взаимодействие с производством и логистическими компаниями.Организация работы художников и дизайнеров.Подготовка референсов.Оформление ТЗ для художников.Разработка стратегии рекламных компаний в поисковиках, социальных сетях и торговых площадках таких как Avito, Юлла., Интервью с клиентом или составление брифа для определения концепции проекта.Подготовка референсов.Прототипирование макетов (wireframes) , User Flow и проработка юзабилити.Прорисовка UI.Адаптивная (медиа запросы) и кроусбраузерна верстка (HTML,CSS,SCSS,JavaScript).Проектирование бизнес-логики и верстка desktop приложений (XAML,WPF,C#)., Контроль работы промоутеров, коммуникация с менеджерами компании и клиентами.",нет
Ж,32,Москва,не готов к переезду,не готов к командировкам,Россия,Россия,Русский Английский Немецкий,Высшее образование,"ГБУ ДПО Центр «Профессионал""",30000.0,не имеет значения,"стажировка, частичная занятость","гибкий график, сменный график, удаленная работа",93,"Работа с документами : подготовка приказов и распоряжений руководителя, регистрация, распространение в структурных подразделениях, ведение архива;Работа со входящей и исходящей корреспонденцией : регистрация, отправка;Приём звонков в компанию, переключение на руководителя или отделы;Встреча клиентов в офисе, консультирование о местоположении отделов, их функций;Подготовка отчётов, прайс-листов; контроль состояния офисной техники и наличия расходных материалов; закупка канцтоваров; заказ питьевой воды, чая, кофе., Осуществление закупок по 44 ФЗ.Работа в ЕАИСТ и с 1С 8.2.Выполнение работы на порученном участке работы по бухгалтерскому учету.Отражение в первичных документах бухгалтерского учета движения денежных средств.Оформление платежных поручений и своевременное предоставление их в банк.Осуществление контроля за своевременностью и правильностью оприходования и списания денежных средств, за составлением кассовых и иных денежных отчетов.Произведение расчетов коммунальных платежей ,контроль правильности и своевременности платежей.Обеспечение сохранности документов бухгалтерского учета.Оформление документов бухгалтерского учета для передачи в архив.Участие в проведении инвентаризаций.Замещение отсутствующих бухгалтеров.Поддержание на рабочем месте атмосферы вежливости и доброжелательности.Соблюдение трудовой и производственной дисциплины, правили норм охраны труда, требований производственной санитарии и гигиены, требований противопожарной безопасности, гражданской обороны.Исполнение распоряжений и приказов непосредственного руководства и администрации предприятия., Продажа автомобилей и дополнительного оборудования;Проведение тест-драйвов;Консультирование клиентов по модельному ряду, комплектации, оказание помощи в выборе автомобиля;Заключение сделок;Оказание услуг послепродажного сервиса;Организация и проведение презентаций.Контроль подготовки автомобиля и платежей., Продажа автомобилей и дополнительного оборудования;Проведение тест-драйвов;Консультирование клиентов по модельному ряду, комплектации, оказание помощи в выборе автомобиля;Заключение сделок;Оказание услуг послепродажного сервиса;Организация и проведение презентаций.Контроль подготовки автомобиля и платежей., Продажа автомобилей и дополнительного оборудования;Проведение тест-драйвов;Консультирование клиентов по модельному ряду, комплектации, оказание помощи в выборе автомобиля;Заключение сделок;Оказание услуг послепродажного сервиса;Организация и проведение презентаций.Контроль подготовки автомобиля и платежей.Лучший работник по итогам 2010 года. Наставник стажеров",нет
М,29,Москва,готов к переезду,готов к командировкам,Россия,Россия,Русский Английский,no_data,no_data,30000.0,не имеет значения,полная занятость,"удаленная работа, полный день",87,"Полное введение клиента с нуля и до конца, подбор специалистов для клиента, ведение отчётности, решение конфликтных ситуаций, удержание клиентов, продажи, обучение новых сотрудников, контроль работы сотрудников, ведение аналитики клиентов, Поиск и сопровождение клиентов на всех этапах продажи услуг, удержание клиентом, полный цикл продажи, обучение нового персонала, контроль работы новых сотрудников, Начало в техническом отделе (работа в программах для регистрации деклараций и сертификатов) , далее перевод в отдел продаж(холодные и тёплые клиенты), обучение нового персонала, контроль за работой сотрудников, Поиск клиентов, ведение на всех этапах, удержание, продажа, ведение отчетности",нет
